no,id,cut,character,speaker_name,style_id,text,reading_hiragana,pause_ms
27,ep03_v027,ep03_vc09,汗田竜司,阿井田 茂,1310138976,これは食品ではない。時間保存媒体だ。低温状態で業務履歴を保持し、溶けると過去の店舗記録を展開する,これワしょくひんでワない。じかんほぞんばいたいだ。ていおんじょうたいでぎょうむりれきをほじし、とけるとかこのてんぽきろくをてんかいする。,400
28,ep03_v028,ep03_vc09,タクミ,にせ,1937616896,未来、アイスに何を入れてるんですか,みらい、あいすになにをいれてるんですか。,300
29,ep03_v029,ep03_vc09,汗田竜司,阿井田 茂,1310138976,未来の設計思想までは責任を持てない,みらいのせっけいしそうまでワせきにんをもてない。,450
30,ep03_v030,ep03_vc10,ナレーション,澤原 玄二郎,2029042368,雑誌棚が、がたんと音を立てて昨日の配置に戻った。床清掃記録は未実施。休憩記録も未取得。,ざっしだなが、がたんとおとをたててきのうのはいちにもどった。ゆかせいそうきろくワみじっし。きゅうけいきろくもみしゅとく。,400
31,ep03_v031,ep03_vc10,ナレーション,澤原 玄二郎,2029042368,タクミは顔を青くした。,たくみワかおをあおくした。,300
32,ep03_v032,ep03_vc10,タクミ,にせ,1937616896,大事件じゃないですか！,だいじけんじゃないですか！,300
33,ep03_v033,ep03_vc10,ミナ,中2,604166016,休憩？,きゅうけい？,250
34,ep03_v034,ep03_vc10,タクミ,にせ,1937616896,はい！,はい！,250
35,ep03_v035,ep03_vc10,ミナ,中2,604166016,それは確かに大事件,それワたしかにだいじけん。,500
36,ep03_v036,ep03_vc11,ナレーション,澤原 玄二郎,2029042368,二時十七分。第十三レジが現れた。,にじじゅうななふん。だいじゅうさんれじがあらわれた。,400
37,ep03_v037,ep03_vc11,第十三レジ,ろてじん（匿名インタビュー風）,1805828384,警告。昨日バニラの融解により、昨日の業務履歴が再展開されています,けいこく。きのうばにらのゆうかいにより、きのうのぎょうむりれきがさいてんかいされています。,450
38,ep03_v038,ep03_vc12,ナレーション,澤原 玄二郎,2029042368,汗田はナビ端末を第十三レジの横に置いた。,あせだワなびたんまつをだいじゅうさんれじのよこにおいた。,350
39,ep03_v039,ep03_vc12,汗田竜司,阿井田 茂,1310138976,完全に時間が戻っているわけではない。人間の記憶は残っている。戻っているのは店舗記録と商品状態だ,かんぜんにじかんがもどっているわけでワない。にんげんのきおくワのこっている。もどっているのワてんぽきろくとしょうひんじょうたいだ。,400
40,ep03_v040,ep03_vc13,タクミ,にせ,1937616896,つまり、僕の掃除は？,つまり、ぼくのそうじワ？,300
41,ep03_v041,ep03_vc13,第十三レジ,ろてじん（匿名インタビュー風）,1805828384,昨日状態です,きのうじょうたいです。,300
42,ep03_v042,ep03_vc13,タクミ,にせ,1937616896,僕の努力が昨日に食われてる！,ぼくのどりょくがきのうにくわれてる！,350
43,ep03_v043,ep03_vc13,第十三レジ,ろてじん（匿名インタビュー風）,1805828384,さらに融解が進むと、未来おにぎりの修正メモも昨日状態に戻ります,さらにゆうかいがすすむと、みらいおにぎりのしゅうせいめももきのうじょうたいにもどります。,450
44,ep03_v044,ep03_vc14,ナレーション,澤原 玄二郎,2029042368,汗田の表情が変わった。,あせだのひょうじょうがかわった。,300
45,ep03_v045,ep03_vc14,汗田竜司,阿井田 茂,1310138976,それはまずい,それワまずい。,500
46,ep03_v046,ep03_vc15,ナレーション,澤原 玄二郎,2029042368,ミナはアイスを見て言った。,みなワあいすをみていった。,300
47,ep03_v047,ep03_vc15,ミナ,中2,604166016,袋、お分けしますか,ふくろ、おわけしますか。,300
48,ep03_v048,ep03_vc15,タクミ,にせ,1937616896,ミナさん、今それ言う場面ですか,みなさん、いまそれいうばめんですか。,300
49,ep03_v049,ep03_vc15,ミナ,中2,604166016,昨日と今日で,きのうときょうで。,250
50,ep03_v050,ep03_vc15,タクミ,にせ,1937616896,時間をレジ袋で分けるな！,じかんをれじぶくろでわけるな！,450
51,ep03_v051,ep03_vc16,ナレーション,澤原 玄二郎,2029042368,汗田は一瞬沈黙し、真剣にうなずいた。,あせだワいっしゅんちんもくし、しんけんにうなずいた。,350
52,ep03_v052,ep03_vc16,汗田竜司,阿井田 茂,1310138976,……理屈としては近い,……りくつとしてワちかい。,300
53,ep03_v053,ep03_vc16,タクミ,にせ,1937616896,近いんですか！？,ちかいんですか！？,300
54,ep03_v054,ep03_vc16,汗田竜司,阿井田 茂,1310138976,店舗システムは、商品を袋単位で別会計として扱える。昨日の履歴を含むアイスと、今日の店舗記録を別取引として認識させる,てんぽしすてむワ、しょうひんをふくろたんいでべつかいけいとしてあつかえる。きのうのりれきをふくむあいすと、きょうのてんぽきろくをべつとりひきとしてにんしきさせる。,450
55,ep03_v055,ep03_vc17,ナレーション,澤原 玄二郎,2029042368,ミナは袋を二枚出した。,みなワふくろをにまいだした。,300
56,ep03_v056,ep03_vc17,ミナ,中2,604166016,こちらが昨日。こちらが今日,こちらがきのう。こちらがきょう。,350
57,ep03_v057,ep03_vc17,第十三レジ,ろてじん（匿名インタビュー風）,1805828384,袋分けを確認。昨日と今日の取引境界を生成,ふくろわけをかくにん。きのうときょうのとりひききょうかいをせいせい。,450
58,ep03_v058,ep03_vc18,ナレーション,澤原 玄二郎,2029042368,店内の照明が青白く揺れた。売上履歴が高速で点滅し、雑誌棚の配置が昨日と今日を行き来する。,てんないのしょうめいがあおじろくゆれた。うりあげりれきがこうそくでてんめつし、ざっしだなのはいちがきのうときょうをいききする。,400
59,ep03_v059,ep03_vc18,ナレーション,澤原 玄二郎,2029042368,タクミは叫んだ。,たくみワさけんだ。,250
60,ep03_v060,ep03_vc18,タクミ,にせ,1937616896,僕の休憩は！？,ぼくのきゅうけいワ！？,300
61,ep03_v061,ep03_vc18,第十三レジ,ろてじん（匿名インタビュー風）,1805828384,処理中,しょりちゅう。,300
62,ep03_v062,ep03_vc18,タクミ,にせ,1937616896,そこ最優先で！,そこさいゆうせんで！,450
63,ep03_v063,ep03_vc19,ナレーション,澤原 玄二郎,2029042368,ミナが保冷剤を袋の上に置く。,みながほれいざいをふくろのうえにおく。,300
64,ep03_v064,ep03_vc19,ミナ,中2,604166016,冷やす,ひやす。,250
65,ep03_v065,ep03_vc19,タクミ,にせ,1937616896,急に普通の対応！,きゅうにふつうのたいおう！,300
66,ep03_v066,ep03_vc19,ナレーション,澤原 玄二郎,2029042368,汗田は小さく笑った。,あせだワちいさくわらった。,300
67,ep03_v067,ep03_vc19,汗田竜司,阿井田 茂,1310138976,普通の対応が最後に効くこともある,ふつうのたいおうがさいごにきくこともある。,400
68,ep03_v068,ep03_vc19,第十三レジ,ろてじん（匿名インタビュー風）,1805828384,処理完了。昨日は昨日として保存されました,しょりかんりょう。きのうワきのうとしてほぞんされました。,400
69,ep03_v069,ep03_vc19,ナレーション,澤原 玄二郎,2029042368,アイスのラベルは、明日ミルクに変わっていた。,あいすのらべるワ、あしたみるくにかわっていた。,350
70,ep03_v070,ep03_vc19,タクミ,にせ,1937616896,また未来っぽい名前になってる,またみらいっぽいなまえになってる。,450
71,ep03_v071,ep03_vc20,ナレーション,澤原 玄二郎,2029042368,汗田は慎重に袋を持ち上げた。,あせだワしんちょうにふくろをもちあげた。,300
72,ep03_v072,ep03_vc20,汗田竜司,阿井田 茂,1310138976,保管した方がいい。時間が腹を壊す,ほかんしたほうがいい。じかんがはらをこわす。,450
73,ep03_v073,ep03_vc20,ナレーション,澤原 玄二郎,2029042368,第十三レジのレシートが出た。,だいじゅうさんれじのれしーとがでた。,400
74,ep03_v074,ep03_vc20,タクミ,にせ,1937616896,袋代取るんですね,ふくろだいとるんですね。,300
75,ep03_v075,ep03_vc20,ミナ,中2,604166016,袋使ったから,ふくろつかったから。,250
76,ep03_v076,ep03_vc20,タクミ,にせ,1937616896,昨日と今日を分けるのに？,きのうときょうをわけるのに？,300
77,ep03_v077,ep03_vc20,ミナ,中2,604166016,袋は袋,ふくろワふくろ。,450
78,ep03_v078,ep03_vc20,ナレーション,澤原 玄二郎,2029042368,午前二時二十分。第十三レジは消えた。誰も触っていないのに、コピー機がウィーンと起動した。,ごぜんにじにじゅっぷん。だいじゅうさんれじワきえた。だれもさわっていないのに、こぴーきがうぃーんときどうした。,400
79,ep03_v079,ep03_vc20,ナレーション,澤原 玄二郎,2029042368,紙には、「二時二十八分、唐揚げ棒を買った客が怒る」と印刷されていた。,かみにワ、にじにじゅうはっぷん、からあげぼうをかったきゃくがおこる、といんさつされていた。,400
80,ep03_v080,ep03_vc20,汗田竜司,阿井田 茂,1310138976,未来クレームだね,みらいくれーむだね。,300
81,ep03_v081,ep03_vc20,タクミ,にせ,1937616896,そんなジャンルあります？,そんなじゃんるあります？,300
82,ep03_v082,ep03_vc20,ミナ,中2,604166016,夜勤にはある,やきんにワある。,500
83,ep03_v083,ep03_vc20,ナレーション,澤原 玄二郎,2029042368,タクミはマニュアルノートを開き、震える手で書いた。「時間は袋分けできる場合がある。ただし袋代は取られる」,たくみワまにゅあるのーとをひらき、ふるえるてでかいた。じかんワふくろわけできるばあいがある。ただしふくろだいワとられる。,800
