card_id,card_name,card_yomi,culture,cost,card_type,power,power_disp,power_attacker,mana,rare,race,race_text,body_text,flavor_text,illustrator,voice_actor,series_title,create_disp,break_disp,super_dimensional_spell_text,super_dimensional_spell_related_cards,psychic_creature_related_cards,twinpact_related_cards,related_cards,final_forbidden_field_css,name,civilization,keyword,nd_legal,text,tags,source,source_url
810100,エイリアン・ファーザー＜1曲いかが？＞,エイリアン・ファーザー＜1きょくいかが？＞,闇火,4,サイキック・クリーチャー,,4000,,,PS,エイリアン,エイリアン,"■自分のエイリアンはすべて「スレイヤー」を得る。
■覚醒リンク：自分のターン開始時、自分の《マザー・エイリアン＜よろこんで＞》があれば、そのクリーチャーとこのクリーチャーをすべて裏返し《魅惑のダンシング・エイリアン》にリンクさせる。",1曲いかが？,Hisanobu Kometani,武内駿輔,PLAY'S CHRONICLE PACK Ⅱ,-,0,,,"810100,810200",,,,エイリアン・ファーザー＜1曲いかが？＞,闇火,覚醒リンク,1,"■自分のエイリアンはすべて「スレイヤー」を得る。
■覚醒リンク：自分のターン開始時、自分の《マザー・エイリアン＜よろこんで＞》があれば、そのクリーチャーとこのクリーチャーをすべて裏返し《魅惑のダンシング・エイリアン》にリンクさせる。",,dmps_official_api,https://dmps.takaratomy.co.jp/api1.0/plays/search.json
684400,時空の支配者ディアボロス Z,じくうのしはいしゃディアボロス ゼータ,光水闇火自然,10,サイキック・クリーチャー,,9000,,,PS,ワールド・コマンド,ワールド・コマンド,"◇ブロッカー
■攻撃できない。
■相手のクリーチャーの能力によって、相手がクリーチャーを選ぶ時、このクリーチャーは選べない。
■覚醒：自分のターン開始時、バトルゾーンの自分の他のエレメント、またはマナゾーンからカードを3枚選び、山札に加えてシャッフルしてもよい。そうした場合、このクリーチャーを《最凶の覚醒者デビル・ディアボロス Z》のほうに裏返す。",世界の狭間、パンドラ・スペース。それはゼニスにも不可侵の世界。それゆえ、もっとも恐れられ、侵略された世界。,Sansyu,宮本誉之,LEGEND OF PLAY'S 2025,-,0,,,"684400,684500",,,,時空の支配者ディアボロス Z,光水闇火自然,"ブロッカー,覚醒",0,"◇ブロッカー
■攻撃できない。
■相手のクリーチャーの能力によって、相手がクリーチャーを選ぶ時、このクリーチャーは選べない。
■覚醒：自分のターン開始時、バトルゾーンの自分の他のエレメント、またはマナゾーンからカードを3枚選び、山札に加えてシャッフルしてもよい。そうした場合、このクリーチャーを《最凶の覚醒者デビル・ディアボロス Z》のほうに裏返す。",,dmps_official_api,https://dmps.takaratomy.co.jp/api1.0/plays/search.json
684100,勝利のガイアール・カイザー,しょうりのガイアール・カイザー,闇火自然,7,サイキック・クリーチャー,,5000,,,PS,レッド・コマンド・ドラゴン/ハンター,レッド・コマンド・ドラゴン/ハンター,"■スピードアタッカー
■バトルゾーンに出た時、そのターン、アンタップしているクリーチャーを攻撃できる。
（覚醒リンク後：《唯我独尊ガイアール・オレドラゴン》）",私ある所に勝利あり！――勝利のガイアール・カイザー,kaNoi,渡辺紘,LEGEND OF PLAY'S 2025,-,0,下記に表示している対象カードをパックから入手することで獲得します,683800,"684100,684200",,,,勝利のガイアール・カイザー,闇火自然,スピードアタッカー,1,"■スピードアタッカー
■バトルゾーンに出た時、そのターン、アンタップしているクリーチャーを攻撃できる。
（覚醒リンク後：《唯我独尊ガイアール・オレドラゴン》）",,dmps_official_api,https://dmps.takaratomy.co.jp/api1.0/plays/search.json
684000,勝利のリュウセイ・カイザー,しょうりのリュウセイ・カイザー,水闇火,7,サイキック・クリーチャー,,6000,,,PS,レッド・コマンド・ドラゴン/ハンター,レッド・コマンド・ドラゴン/ハンター,"■相手が自身のカードをマナゾーンに置く時、使用可能マナは増えない。
■W・ブレイカー
（覚醒リンク後：《唯我独尊ガイアール・オレドラゴン》）",ちょっとウェイト！一旦止まれストップ！――勝利のリュウセイ・カイザー,kaNoi,武内駿輔,LEGEND OF PLAY'S 2025,-,0,下記に表示している対象カードをパックから入手することで獲得します,683800,"684000,684200",,,,勝利のリュウセイ・カイザー,水闇火,W・ブレイカー,1,"■相手が自身のカードをマナゾーンに置く時、使用可能マナは増えない。
■W・ブレイカー
（覚醒リンク後：《唯我独尊ガイアール・オレドラゴン》）",,dmps_official_api,https://dmps.takaratomy.co.jp/api1.0/plays/search.json
683900,勝利のプリンプリン,しょうりのプリンプリン,光水自然,5,サイキック・クリーチャー,,4000,,,PS,ハンター/エイリアン,ハンター/エイリアン,"■バトルゾーンに出た時、相手のクリーチャーを1体選ぶ。次の自分のターン開始時まで、そのクリーチャーは攻撃もブロックもできない。
■V覚醒リンク：自分の《勝利のガイアール・カイザー》と《勝利のリュウセイ・カイザー》がある時、そのクリーチャーとこのクリーチャーをすべて裏返し《唯我独尊ガイアール・オレドラゴン》にリンクさせる。",この戦いも当然ビクトリーじゃ！――勝利のプリンプリン,kaNoi,ユリン千晶,LEGEND OF PLAY'S 2025,-,0,下記に表示している対象カードをパックから入手することで獲得します,683800,"683900,684200",,,,勝利のプリンプリン,光水自然,V覚醒リンク,1,"■バトルゾーンに出た時、相手のクリーチャーを1体選ぶ。次の自分のターン開始時まで、そのクリーチャーは攻撃もブロックもできない。
■V覚醒リンク：自分の《勝利のガイアール・カイザー》と《勝利のリュウセイ・カイザー》がある時、そのクリーチャーとこのクリーチャーをすべて裏返し《唯我独尊ガイアール・オレドラゴン》にリンクさせる。",,dmps_official_api,https://dmps.takaratomy.co.jp/api1.0/plays/search.json
628100,時空の司令 コンボイ・トレーラー,じくうのしれい コンボイ・トレーラー,水火,7,サイキック・クリーチャー,,5000,,,PS,フレイム・コマンド/グレートメカオー/ハンター,フレイム・コマンド/グレートメカオー/ハンター,"◇ブロッカー
■攻撃できない。
■覚醒：自分のターン開始時、自分の手札から進化でないグレートメカオー1枚をバトルゾーンに出してもよい。そうした場合、このクリーチャーを《司令官の覚醒者 コンボイ》のほうに裏返す。",さて、今日のトランスフォーマーは！デュエプレの世界から、熱き戦いをお届けしよう。,-,玄田哲章,PLAY'S CHRONICLE PACK,-,0,,,"628100,628000",,,,時空の司令 コンボイ・トレーラー,水火,"ブロッカー,覚醒",0,"◇ブロッカー
■攻撃できない。
■覚醒：自分のターン開始時、自分の手札から進化でないグレートメカオー1枚をバトルゾーンに出してもよい。そうした場合、このクリーチャーを《司令官の覚醒者 コンボイ》のほうに裏返す。",,dmps_official_api,https://dmps.takaratomy.co.jp/api1.0/plays/search.json
491820,時空の悪魔龍 ディアボロス ZZ,じくうのあくまりゅう ディアボロス ダブルゼータ,闇,10,サイキック・クリーチャー,,9000,,,PS,デーモン・コマンド・ドラゴン,デーモン・コマンド・ドラゴン,"◇ブロッカー
■攻撃できない。
■相手のクリーチャーの能力によって、相手がクリーチャーを選ぶ時、このクリーチャーは選べない。
■覚醒：自分のターン開始時、バトルゾーンの自分の他のエレメント、またはマナゾーンからカードを3枚選び、墓地に置いてもよい。そうした場合、このクリーチャーを《究極の覚醒者 デビル・ディアボロス ZZ》のほうに裏返す。",これがメイドサンタのもてなしだ！,kenko,河野ひより,LEGEND OF PLAY'S 2024,-,0,,,"491820,491920",,,,時空の悪魔龍 ディアボロス ZZ,闇,"ブロッカー,覚醒",0,"◇ブロッカー
■攻撃できない。
■相手のクリーチャーの能力によって、相手がクリーチャーを選ぶ時、このクリーチャーは選べない。
■覚醒：自分のターン開始時、バトルゾーンの自分の他のエレメント、またはマナゾーンからカードを3枚選び、墓地に置いてもよい。そうした場合、このクリーチャーを《究極の覚醒者 デビル・ディアボロス ZZ》のほうに裏返す。",,dmps_official_api,https://dmps.takaratomy.co.jp/api1.0/plays/search.json
493420,時空の侍ボルメテウス・若武者・ドラゴン,じくうのさむらいボルメテウス・わかむしゃ・ドラゴン,火,7,サイキック・クリーチャー,,6000,,,PS,アーマード・ドラゴン/サムライ,アーマード・ドラゴン/サムライ,"■W・ブレイカー
■攻撃する時、相手のパワー3000以下のクリーチャー1体を破壊する。
■覚醒：自分のターン開始時、いずれかのプレイヤーのシールドが2つ以下なら、このクリーチャーを《戦国の覚醒者メビウス・武者・ドラゴン》のほうに裏返す。",華やかに行きましょう！,kenko,指出毬亜,LEGEND OF PLAY'S 2024,-,0,,,"493420,493520",,,,時空の侍ボルメテウス・若武者・ドラゴン,火,"W・ブレイカー,覚醒",0,"■W・ブレイカー
■攻撃する時、相手のパワー3000以下のクリーチャー1体を破壊する。
■覚醒：自分のターン開始時、いずれかのプレイヤーのシールドが2つ以下なら、このクリーチャーを《戦国の覚醒者メビウス・武者・ドラゴン》のほうに裏返す。",,dmps_official_api,https://dmps.takaratomy.co.jp/api1.0/plays/search.json
490300,イオの伝道師ガガ・パックン,イオのでんどうしガガ・パックン,光,4,サイキック・クリーチャー,,3000,,,PS,バーサーカー/エイリアン,バーサーカー/エイリアン,"■相手の呪文を唱えるコストは1多くなる。
■覚醒リンク：自分のターン開始時、自分の《タイタンの大地ジオ・ザ・マン》があれば、そのクリーチャーとこのクリーチャーをすべて裏返し《貪欲バリバリ・パックンガー》にリンクさせる。",よく練られた秘術は、食べ応えがある。,otumami,-,LEGEND OF PLAY'S 2024,-,0,下記に表示している対象カードをパックから入手することで獲得します,490200,"490300,495900",,,,イオの伝道師ガガ・パックン,光,覚醒リンク,1,"■相手の呪文を唱えるコストは1多くなる。
■覚醒リンク：自分のターン開始時、自分の《タイタンの大地ジオ・ザ・マン》があれば、そのクリーチャーとこのクリーチャーをすべて裏返し《貪欲バリバリ・パックンガー》にリンクさせる。",,dmps_official_api,https://dmps.takaratomy.co.jp/api1.0/plays/search.json
491800,時空の悪魔龍 ディアボロス ZZ,じくうのあくまりゅう ディアボロス ダブルゼータ,闇,10,サイキック・クリーチャー,,9000,,,PS,デーモン・コマンド・ドラゴン,デーモン・コマンド・ドラゴン,"◇ブロッカー
■攻撃できない。
■相手のクリーチャーの能力によって、相手がクリーチャーを選ぶ時、このクリーチャーは選べない。
■覚醒：自分のターン開始時、バトルゾーンの自分の他のエレメント、またはマナゾーンからカードを3枚選び、墓地に置いてもよい。そうした場合、このクリーチャーを《究極の覚醒者 デビル・ディアボロス ZZ》のほうに裏返す。",かつてドラゴ大王に滅ぼされたZ一族だったが、彼らの執念は凄まじかった。次元を越え、最後の戦いを挑んできた。,A・Guy,宮本誉之,LEGEND OF PLAY'S 2024,-,0,,,"491800,491900",,,,時空の悪魔龍 ディアボロス ZZ,闇,"ブロッカー,覚醒",0,"◇ブロッカー
■攻撃できない。
■相手のクリーチャーの能力によって、相手がクリーチャーを選ぶ時、このクリーチャーは選べない。
■覚醒：自分のターン開始時、バトルゾーンの自分の他のエレメント、またはマナゾーンからカードを3枚選び、墓地に置いてもよい。そうした場合、このクリーチャーを《究極の覚醒者 デビル・ディアボロス ZZ》のほうに裏返す。",,dmps_official_api,https://dmps.takaratomy.co.jp/api1.0/plays/search.json
493400,時空の侍ボルメテウス・若武者・ドラゴン,じくうのさむらいボルメテウス・わかむしゃ・ドラゴン,火,7,サイキック・クリーチャー,,6000,,,PS,アーマード・ドラゴン/サムライ,アーマード・ドラゴン/サムライ,"■W・ブレイカー
■攻撃する時、相手のパワー3000以下のクリーチャー1体を破壊する。
■覚醒：自分のターン開始時、いずれかのプレイヤーのシールドが2つ以下なら、このクリーチャーを《戦国の覚醒者メビウス・武者・ドラゴン》のほうに裏返す。",超次元から光が射したとき、武者はすべての枷から解放された。肉体は限界を遥かに凌駕し、その魂はまさに覚醒せんとしていた。,hippo,宮本淳,LEGEND OF PLAY'S 2024,-,0,,,"493400,493500",,,,時空の侍ボルメテウス・若武者・ドラゴン,火,"W・ブレイカー,覚醒",0,"■W・ブレイカー
■攻撃する時、相手のパワー3000以下のクリーチャー1体を破壊する。
■覚醒：自分のターン開始時、いずれかのプレイヤーのシールドが2つ以下なら、このクリーチャーを《戦国の覚醒者メビウス・武者・ドラゴン》のほうに裏返す。",,dmps_official_api,https://dmps.takaratomy.co.jp/api1.0/plays/search.json
494800,タイタンの大地ジオ・ザ・マン,タイタンのだいちジオ・ザ・マン,自然,6,サイキック・クリーチャー,,4000,,,PS,ガイア・コマンド/エイリアン,ガイア・コマンド/エイリアン,"■自分のターン終了時、自分のマナゾーンからカード1枚を手札に戻してもよい。
（覚醒リンク後：《貪欲バリバリ・パックンガー》）",よく育った大地は、食べ甲斐がある。,otumami,岡井カツノリ,LEGEND OF PLAY'S 2024,-,0,下記に表示している対象カードをパックから入手することで獲得します,494700,"494800,495900",,,,タイタンの大地ジオ・ザ・マン,自然,,1,"■自分のターン終了時、自分のマナゾーンからカード1枚を手札に戻してもよい。
（覚醒リンク後：《貪欲バリバリ・パックンガー》）",,dmps_official_api,https://dmps.takaratomy.co.jp/api1.0/plays/search.json
299100,アクア・ジェット＜BOOON・スカイ＞,アクア・ジェット＜ブーーーン・スカイ＞,水,4,サイキック・クリーチャー,,3000,+,,PS,リキッド・ピープル/ハンター,リキッド・ピープル/ハンター,"■P'S覚醒リンク：自分のターン開始時または自分の《アクア・アタック<BAGOOON・パンツァー>》がバトルゾーンに出た時、自分の《アクア・アタック<BAGOOON・パンツァー>》と《アクア・カスケード<ZABUUUN・クルーザー>》があれば、そのクリーチャーとこのクリーチャーをすべて裏返し《弩級合身！ジェット・カスケード・アタック》にリンクさせる。
■ハンティング",アタック！カスケード！行くぞ、合体だ！！――アクア・ジェット,Taro Yamazaki,高橋伸也,咆えろ漆黒のガロウズ,-,0,「咆えろ漆黒のガロウズ」を購入、または下記に表示している対象カードを生成することで獲得します,299000,"299100,299500",,,,アクア・ジェット＜BOOON・スカイ＞,水,"P'S覚醒リンク,ハンティング",0,"■P'S覚醒リンク：自分のターン開始時または自分の《アクア・アタック<BAGOOON・パンツァー>》がバトルゾーンに出た時、自分の《アクア・アタック<BAGOOON・パンツァー>》と《アクア・カスケード<ZABUUUN・クルーザー>》があれば、そのクリーチャーとこのクリーチャーをすべて裏返し《弩級合身！ジェット・カスケード・アタック》にリンクさせる。
■ハンティング",,dmps_official_api,https://dmps.takaratomy.co.jp/api1.0/plays/search.json
299200,アクア・カスケード＜ZABUUUN・クルーザー＞,アクア・カスケード＜ザブーーーン・クルーザー＞,水,3,サイキック・クリーチャー,,4000,,,PS,リキッド・ピープル/ハンター,リキッド・ピープル/ハンター,"◇ブロッカー
■攻撃できない。
（覚醒リンク後：《弩級合身！ジェット・カスケード・アタック》）",ジェット！アタック！アンノウンのボス、発見！！――アクア・カスケード,Taro Yamazaki,高橋伸也,咆えろ漆黒のガロウズ,-,0,「咆えろ漆黒のガロウズ」を購入、または下記に表示している対象カードを生成することで獲得します,299000,"299200,299500",,,,アクア・カスケード＜ZABUUUN・クルーザー＞,水,ブロッカー,0,"◇ブロッカー
■攻撃できない。
（覚醒リンク後：《弩級合身！ジェット・カスケード・アタック》）",,dmps_official_api,https://dmps.takaratomy.co.jp/api1.0/plays/search.json
299400,アクア・アタック＜BAGOOON・パンツァー＞,アクア・アタック＜バゴーーーン・パンツァー＞,光水,7,サイキック・クリーチャー,,6000,,,PS,リキッド・ピープル/ハンター,リキッド・ピープル/ハンター,"■自分のターン開始時、自分の手札が5枚以下なら、カードを1枚引く。
■自分の水のハンターは攻撃されない。
■W・ブレイカー
（覚醒リンク後：《弩級合身！ジェット・カスケード・アタック》）",こちらアタック！合体、了解！！――アクア・アタック,Taro Yamazaki,高橋伸也,咆えろ漆黒のガロウズ,-,0,「咆えろ漆黒のガロウズ」を購入、または下記に表示している対象カードを生成することで獲得します,299000,"299400,299500",,,,アクア・アタック＜BAGOOON・パンツァー＞,光水,W・ブレイカー,0,"■自分のターン開始時、自分の手札が5枚以下なら、カードを1枚引く。
■自分の水のハンターは攻撃されない。
■W・ブレイカー
（覚醒リンク後：《弩級合身！ジェット・カスケード・アタック》）",,dmps_official_api,https://dmps.takaratomy.co.jp/api1.0/plays/search.json
298100,魂の大番長「四つ牙」,たましいのだいばんちょう「クワトロ・ファング」,自然,6,サイキック・クリーチャー,,6000,,,PS,ビーストフォーク/ハンター,ビーストフォーク/ハンター,"■自分のターン開始時、自分の山札の上から1枚目をマナゾーンに置く。
■W・ブレイカー
（覚醒リンク後：《バンカラ大親分 メンチ斬ルゾウ》）",俺の魂、見せてやるぜ！――魂の大番長「四つ牙」,Kare,高橋伸也,燃えよ紅蓮のガイアール,-,0,「燃えよ紅蓮のガイアール」を購入、または下記に表示している対象カードを生成することで獲得します,298000,"298100,298500",,,,魂の大番長「四つ牙」,自然,W・ブレイカー,0,"■自分のターン開始時、自分の山札の上から1枚目をマナゾーンに置く。
■W・ブレイカー
（覚醒リンク後：《バンカラ大親分 メンチ斬ルゾウ》）",,dmps_official_api,https://dmps.takaratomy.co.jp/api1.0/plays/search.json
