character,order,speaker_name,style_name,style_id,file,text,notes
座木山辰哉,3,阿井田 茂,Far,1310138978,座木山辰哉_03_阿井田_茂_Far_1310138978.wav,コピー、白黒でいいよ。色がつくと記憶が増えるから。昔の地図も、だいたい合ってなかったからなあ。,遠いとぼけ候補(新)
座木山辰哉,4,澤原 玄二郎,ノーマル,2029042368,座木山辰哉_04_澤原_玄二郎_ノーマル_2029042368.wav,コピー、白黒でいいよ。色がつくと記憶が増えるから。昔の地図も、だいたい合ってなかったからなあ。,中年常連候補(新)
座木山辰哉,5,ろてじん（匿名インタビュー風）,ノーマル,1805828384,座木山辰哉_05_ろてじん_匿名インタビュー風_ノーマル_1805828384.wav,コピー、白黒でいいよ。色がつくと記憶が増えるから。昔の地図も、だいたい合ってなかったからなあ。,飄々常連候補(新)
座木山辰哉,6,fumifumi,ノーマル,606865152,座木山辰哉_06_fumifumi_ノーマル_606865152.wav,コピー、白黒でいいよ。色がつくと記憶が増えるから。昔の地図も、だいたい合ってなかったからなあ。,力抜け常連候補(新)
座木山辰哉,7,Lux,ノーマル,2031733024,座木山辰哉_07_Lux_ノーマル_2031733024.wav,コピー、白黒でいいよ。色がつくと記憶が増えるから。昔の地図も、だいたい合ってなかったからなあ。,のんびり常連候補(新)
座木山辰哉,8,TANAKA,ノーマル,1628969216,座木山辰哉_08_TANAKA_ノーマル_1628969216.wav,コピー、白黒でいいよ。色がつくと記憶が増えるから。昔の地図も、だいたい合ってなかったからなあ。,TANAKAを座木山枠で試す(新・指定)
汗田竜司,1,阿井田 茂,Calm,1310138977,汗田竜司_01_阿井田_茂_Calm_1310138977.wav,これは配送記録じゃない。在庫予測モデルだ。食べ物の価値は、数値だけじゃ決まらない。,落ち着いた技術者(本命寄り)
汗田竜司,2,阿井田 茂,ノーマル,1310138976,汗田竜司_02_阿井田_茂_ノーマル_1310138976.wav,これは配送記録じゃない。在庫予測モデルだ。食べ物の価値は、数値だけじゃ決まらない。,標準・理知的な解説
汗田竜司,3,阿井田 茂,Mid,1310138980,汗田竜司_03_阿井田_茂_Mid_1310138980.wav,これは配送記録じゃない。在庫予測モデルだ。食べ物の価値は、数値だけじゃ決まらない。,説明向き中庸
汗田竜司,4,阿井田 茂,Heavy,1310138979,汗田竜司_04_阿井田_茂_Heavy_1310138979.wav,これは配送記録じゃない。在庫予測モデルだ。食べ物の価値は、数値だけじゃ決まらない。,重み・貫禄
汗田竜司,5,澤原 玄二郎,ノーマル,2029042368,汗田竜司_05_澤原_玄二郎_ノーマル_2029042368.wav,これは配送記録じゃない。在庫予測モデルだ。食べ物の価値は、数値だけじゃ決まらない。,渋め中年男性
汗田竜司,6,澤原 玄二郎,close,2029042369,汗田竜司_06_澤原_玄二郎_close_2029042369.wav,これは配送記録じゃない。在庫予測モデルだ。食べ物の価値は、数値だけじゃ決まらない。,近接で語りかけ
汗田竜司,7,ろてじん（匿名インタビュー風）,ノーマル,1805828384,汗田竜司_07_ろてじん_匿名インタビュー風_ノーマル_1805828384.wav,これは配送記録じゃない。在庫予測モデルだ。食べ物の価値は、数値だけじゃ決まらない。,理屈っぽい解説口調
