id,cut,role,character,text,reading_hiragana,original_direction,emotion,delivery_translation,speaker_name,style_name,style_id,speedScale,intonationScale,tempoDynamicsScale,pitchScale,volumeScale,prePhonemeLength,postPhonemeLength,pause_after_ms,synthesize
ep01_v023,ep01_021,narration,ナレーション,肩の小さな液晶には、残業時間二百七十六時間、と表示されている。,かたのちいさなえきしょうには、ざんぎょうじかんにひゃくななじゅうろくじかん、とひょうじされている。,少し異常さを置く,静かな不穏,声を少し落として、奇妙さだけを置く。煽らない。,澤原 玄二郎,ノーマル,2029042368,0.92,0.85,0.82,-0.02,1.0,0.12,0.25,250,yes
ep01_v024,ep01_021,narration,ナレーション,首元の透明なパッチが、レジの電子音に合わせて一度だけ銀色に光った。,くびもとのとうめいなぱっちが、れじのでんしおんにあわせていちどだけぎんいろにひかった。,静かに不穏,静かな不穏,声を少し落として、奇妙さだけを置く。煽らない。,澤原 玄二郎,ノーマル,2029042368,0.92,0.85,0.82,-0.02,1.0,0.12,0.25,500,yes
ep01_v025,ep01_022,dialogue,未来の会社員,返品、お願いします。,へんぴん、おねがいします。,疲れて申し訳なさそうに,疲労と恐縮,疲れているが礼儀は残っている。息を少し重くする。,fumifumi,ノーマル,606865152,0.95,0.78,0.8,-0.03,1.0,0.08,0.22,350,yes
ep01_v026,ep01_023,dialogue,ミナ,レシートはお持ちですか。,れしーとはおもちですか。,完全に通常接客,通常接客,コンビニ接客の定型文として、まっすぐ読む。,ほのか(~現実20代女子AIボイチェン~リアボVC公式モデル),ノーマル,808373280,0.96,0.72,0.78,-0.02,1.01,0.08,0.2,250,yes
ep01_v027,ep01_024,dialogue,未来の会社員,五十年後に発行されます。,ごじゅうねんごにはっこうされます。,真面目。おかしさを自覚しすぎない,会社員の説明,言い訳ではなく業務報告。疲れた事務口調。,fumifumi,ノーマル,606865152,0.95,0.78,0.8,-0.03,1.0,0.08,0.22,450,yes
ep01_v028,ep01_025,dialogue,タクミ,ミナさん。対応マニュアルあります？,みなさん。たいおうまにゅあるあります？,小声で不安,困惑,理解が追いつかず、少しだけ語尾を浮かせる。,にせ,ノーマル,1937616896,1.08,1.13,1.16,0.021,1,0.06,0.23,250,yes
ep01_v029,ep01_026,dialogue,ミナ,まず、いらっしゃいませ。,まず、いらっしゃいませ。,教育係として淡々と,低温・淡々,感情を盛らず、通常業務として読む。,ほのか(~現実20代女子AIボイチェン~リアボVC公式モデル),ノーマル,808373280,0.94,0.7,0.76,-0.02,0.98,0.08,0.23,250,yes
ep01_v030,ep01_025,dialogue,タクミ,そこからなんですね。,そこからなんですね。,小さく受ける,小声の受け,大きく突っ込まず、ぼそっと漏らす。,にせ,ノーマル,1937616896,1.06,0.99,1.08,0.011,0.88,0.06,0.22,500,yes
ep01_v031,ep01_027,narration,ナレーション,男は袋からおにぎりを出した。,おとこはふくろからおにぎりをだした。,短くつなぐ,状況説明,映像の補助に徹し、明瞭だが前に出すぎない。,澤原 玄二郎,ノーマル,2029042368,0.92,0.85,0.82,-0.02,1.0,0.12,0.25,200,yes
ep01_v032,ep01_028,narration,ナレーション,パッケージには、完全栄養おにぎり・思い出の鮭。,ぱっけーじには、かんぜんえいようおにぎり、おもいでのしゃけ。,商品名を少し印象的に,状況説明,映像の補助に徹し、明瞭だが前に出すぎない。,澤原 玄二郎,ノーマル,2029042368,0.92,0.85,0.82,-0.02,1.0,0.12,0.25,250,yes
ep01_v033,ep01_028,narration,ナレーション,製造年月日、二〇七四年六月十二日。,せいぞうねんがっぴ、にせんななじゅうよねんろくがつじゅうににち。,日付をはっきり,静かな不穏,声を少し落として、奇妙さだけを置く。煽らない。,澤原 玄二郎,ノーマル,2029042368,0.92,0.85,0.82,-0.02,1.0,0.12,0.25,500,yes
ep01_v034,ep01_029,dialogue,第十三レジ,警告。この商品は未来の食糧危機解決候補です。,けいこく。このしょうひんはみらいのしょくりょうききかいけつこうほです。,事務的。重大さを煽らない,重大警告を事務的に,内容は重大だが煽らない。数値は聞き取りやすく。,ろてじん（匿名インタビュー風）,ノーマル,1805828384,0.86,0.4,0.44,-0.04,1.04,0.08,0.27,200,yes
ep01_v035,ep01_030,dialogue,第十三レジ,誤返品により人類生存率が三・二パーセント低下します。,ごへんぴんによりじんるいせいぞんりつがさんてんにぱーせんとていかします。,数字をはっきり。冷静,重大警告を事務的に,内容は重大だが煽らない。数値は聞き取りやすく。,ろてじん（匿名インタビュー風）,ノーマル,1805828384,0.86,0.4,0.44,-0.04,1.04,0.08,0.27,450,yes
ep01_v036,ep01_031,dialogue,タクミ,ミナさん、僕の時給で扱っていい数字じゃないです。,みなさん、ぼくのじきゅうであつかっていいすうじじゃないです。,現実的にツッコむ,強めのツッコミ,勢いは出すが、音割れしないよう音量は控えめに保つ。,にせ,ノーマル,1937616896,1.18,1.21,1.24,0.021,1.05,0.05,0.19,450,yes
ep01_v037,ep01_032,dialogue,未来の会社員,うちの課が試験販売前の商品を過去へ誤配送しまして。,うちのかがしけんはんばいまえのしょうひんをかこへごはいそうしまして。,会社員の説明口調,会社員の説明,言い訳ではなく業務報告。疲れた事務口調。,fumifumi,ノーマル,606865152,0.95,0.78,0.8,-0.03,1.0,0.08,0.22,250,yes
ep01_v038,ep01_033,dialogue,未来の会社員,返品しないと始末書が増えます。,へんぴんしないとしまつしょがふえます。,切実。人類より仕事が近い,切実,大げさではなく、始末書を本当に避けたい切実さ。,fumifumi,ノーマル,606865152,0.95,0.78,0.8,-0.03,1.0,0.08,0.22,300,yes
ep01_v039,ep01_034,dialogue,タクミ,人類より始末書を気にしてる。,じんるいよりしまつしょをきにしてる。,短く呆れる,短いツッコミ,テンポよく短く返す。叫びにはしない。,にせ,ノーマル,1937616896,1.15,1.15,1.2,0.015,1.04,0.06,0.16,250,yes
ep01_v040,ep01_035,dialogue,未来の会社員,会社員なので。,かいしゃいんなので。,疲労と説得力,小さな本音,会社員としての諦めを短く置く。,fumifumi,ノーマル,606865152,0.95,0.78,0.8,-0.03,1.0,0.08,0.22,250,yes
ep01_v041,ep01_034,dialogue,タクミ,説得力が嫌だ。,せっとくりょくがいやだ。,低めにぼそっと,小声の受け,大きく突っ込まず、ぼそっと漏らす。,にせ,ノーマル,1937616896,1.06,0.99,1.08,0.011,0.88,0.06,0.22,550,yes
ep01_v042,ep01_036,narration,ナレーション,第十三レジの画面には、通常返品、時空返品、存在取消、温める、店長呼出、と並んでいた。,だいじゅうさんれじのがめんには、つうじょうへんぴん、じくうへんぴん、そんざいとりけし、あたためる、てんちょうよびだし、とならんでいた。,メニューを読み上げる。長すぎない,レシート読み,事務的に淡々と読む。ギャグは声で説明しない。,澤原 玄二郎,ノーマル,2029042368,0.92,0.85,0.82,-0.02,1.0,0.12,0.25,350,yes
ep01_v043,ep01_037,dialogue,タクミ,店長呼出があります。,てんちょうよびだしがあります。,業務画面を読む感じ,軽い雑談,新人らしく軽く話す。まだ異常は起きていない。,にせ,ノーマル,1937616896,1.1,1.08,1.14,0.017,1,0.06,0.18,200,yes
ep01_v044,ep01_038,dialogue,ミナ,押さない。,おさない。,即答。低温,即答,短く切る。声は荒げない。,ほのか(~現実20代女子AIボイチェン~リアボVC公式モデル),ノーマル,808373280,0.99,0.67,0.75,-0.02,1,0.08,0.17,200,yes
ep01_v045,ep01_037,dialogue,タクミ,なぜ。,なぜ。,短く,小声の受け,大きく突っ込まず、ぼそっと漏らす。,にせ,ノーマル,1937616896,1.06,0.99,1.08,0.011,0.88,0.06,0.22,150,yes
ep01_v046,ep01_038,dialogue,ミナ,二時以降は出ない。,にじいこうはでない。,当然のように,低温・淡々,感情を盛らず、通常業務として読む。,ほのか(~現実20代女子AIボイチェン~リアボVC公式モデル),ノーマル,808373280,0.94,0.7,0.76,-0.02,0.98,0.08,0.23,200,yes
ep01_v047,ep01_037,dialogue,タクミ,店長呼出の存在意義。,てんちょうよびだしのそんざいいぎ。,ぼそっと,小声の受け,大きく突っ込まず、ぼそっと漏らす。,にせ,ノーマル,1937616896,1.06,0.99,1.08,0.011,0.88,0.06,0.22,450,yes
ep01_v048,ep01_039,dialogue,第十三レジ,残り時間、三分。,のこりじかん、さんぷん。,無機質に短く,短い処理応答,レジの処理音声として短く平坦に言う。,ろてじん（匿名インタビュー風）,ノーマル,1805828384,0.9,0.33,0.4,-0.04,1,0.08,0.21,200,yes
ep01_v049,ep01_040,dialogue,第十三レジ,二時二十分を過ぎると、この商品は現代店舗の新商品として定着します。,にじにじゅっぷんをすぎると、このしょうひんはげんだいてんぽのしんしょうひんとしてていちゃくします。,案内端末のように,端末通知,店内端末の案内。感情を消し、一定の速度で読む。,ろてじん（匿名インタビュー風）,ノーマル,1805828384,0.88,0.37,0.42,-0.04,1.02,0.08,0.25,200,yes
ep01_v050,ep01_040,dialogue,第十三レジ,仕入れ原価、一個七万二千円。,しいれげんか、いっこななまんにせんえん。,最後の金額をはっきり,重大警告を事務的に,内容は重大だが煽らない。数値は聞き取りやすく。,ろてじん（匿名インタビュー風）,ノーマル,1805828384,0.86,0.4,0.44,-0.04,1.04,0.08,0.27,350,yes
ep01_v051,ep01_041,dialogue,タクミ,返品しましょう。,へんぴんしましょう。,即決。現実的な焦り,現実的な即決,異常を理解したのではなく、金額で即決する現実感を出す。,にせ,ノーマル,1937616896,1.14,1.09,1.15,0.015,1.02,0.06,0.18,350,yes
ep01_v052,ep01_042,dialogue,ミナ,こちらの商品、温めますか。,こちらのしょうひん、あたためますか。,完全に通常業務として読む,通常接客,コンビニ接客の定型文として、まっすぐ読む。,ほのか(~現実20代女子AIボイチェン~リアボVC公式モデル),ノーマル,808373280,0.96,0.72,0.78,-0.02,1.01,0.08,0.2,250,yes
ep01_v053,ep01_043,dialogue,タクミ,この状況で！？,このじょうきょうで？,反射的。叫びすぎない,強めのツッコミ,勢いは出すが、音割れしないよう音量は控えめに保つ。,にせ,ノーマル,1937616896,1.18,1.21,1.24,0.021,1.05,0.05,0.19,250,yes
ep01_v054,ep01_044,dialogue,未来の会社員,お願いします。,おねがいします。,切実に,切実,大げさではなく、始末書を本当に避けたい切実さ。,fumifumi,ノーマル,606865152,0.95,0.78,0.8,-0.03,1.0,0.08,0.22,250,yes
ep01_v055,ep01_045,dialogue,タクミ,お願いしますじゃないですよ。,おねがいしますじゃないですよ。,前のめりなツッコミ,短いツッコミ,テンポよく短く返す。叫びにはしない。,にせ,ノーマル,1937616896,1.15,1.15,1.2,0.015,1.04,0.06,0.16,150,yes
ep01_v056,ep01_045,dialogue,タクミ,世界の分岐を電子レンジに入れないでください。,せかいのぶんきをでんしれんじにいれないでください。,一息で言い切る,強めのツッコミ,勢いは出すが、音割れしないよう音量は控えめに保つ。,にせ,ノーマル,1937616896,1.18,1.21,1.24,0.021,1.05,0.05,0.19,400,yes
ep01_v057,ep01_046,sfx,SE,電子レンジが唸る。,,音響メモ。低い駆動音,効果音メモ,音声合成しない。SE設計用のマーカーとして扱う。,,,,,,,,,,,350,no
ep01_v058,ep01_047,narration,ナレーション,おにぎりが淡く光り、未来の食堂が映った。,おにぎりがあわくひかり、みらいのしょくどうがうつった。,ここだけ温かい余韻,温かい余韻,未来食堂の場面だけ柔らかく、少しゆっくり読ませる。,澤原 玄二郎,ノーマル,2029042368,0.92,0.85,0.82,-0.02,1.0,0.12,0.25,350,yes
ep01_v059,ep01_048,narration,ナレーション,空っぽの棚。長い列。,からっぽのたな。ながいれつ。,短い文を置く,温かい余韻,未来食堂の場面だけ柔らかく、少しゆっくり読ませる。,澤原 玄二郎,ノーマル,2029042368,0.92,0.85,0.82,-0.02,1.0,0.12,0.25,300,yes
ep01_v060,ep01_049,narration,ナレーション,小さな子どもが、そのおにぎりを両手で持って笑っている。,ちいさなこどもが、そのおにぎりをりょうてでもってわらっている。,感情の山。優しく,温かい余韻,未来食堂の場面だけ柔らかく、少しゆっくり読ませる。,澤原 玄二郎,ノーマル,2029042368,0.92,0.85,0.82,-0.02,1.0,0.12,0.25,600,yes
ep01_v061,ep01_050,narration,ナレーション,未来の会社員は息を呑んだ。,みらいのかいしゃいんはいきをのんだ。,静かに,状況説明,映像の補助に徹し、明瞭だが前に出すぎない。,澤原 玄二郎,ノーマル,2029042368,0.92,0.85,0.82,-0.02,1.0,0.12,0.25,200,yes
ep01_v062,ep01_050,dialogue,未来の会社員,開発記録です。これが、ちゃんと届けば……。,かいはつきろくです。これが、ちゃんととどけば。,ここだけ感情を出す,抑えた感情,ここだけ食糧危機の重みを少し出す。泣かせすぎない。,fumifumi,ノーマル,606865152,0.95,0.78,0.8,-0.03,1.0,0.08,0.22,600,yes
ep01_v063,ep01_051,dialogue,第十三レジ,加熱により時空状態が安定しました。,かねつによりじくうじょうたいがあんていしました。,処理完了通知,端末通知,店内端末の案内。感情を消し、一定の速度で読む。,ろてじん（匿名インタビュー風）,ノーマル,1805828384,0.88,0.37,0.42,-0.04,1.02,0.08,0.25,200,yes
ep01_v064,ep01_052,dialogue,第十三レジ,履歴メモを入力してください。,りれきめもをにゅうりょくしてください。,通常のレジ操作案内風,端末通知,店内端末の案内。感情を消し、一定の速度で読む。,ろてじん（匿名インタビュー風）,ノーマル,1805828384,0.88,0.37,0.42,-0.04,1.02,0.08,0.25,350,yes
ep01_v065,ep01_053,dialogue,ミナ,このおにぎりは、ちゃんと作った方がいいです。,このおにぎりは、ちゃんとつくったほうがいいです。,短く。少しだけ芯を出す,静かな芯,この回で唯一、少しだけ人間味を出す。声量は上げない。,ほのか(~現実20代女子AIボイチェン~リアボVC公式モデル),ノーマル,808373280,0.91,0.77,0.76,-0.023,1,0.08,0.3,350,yes
ep01_v066,ep01_054,dialogue,タクミ,ざっくり！,ざっくり！,短く反応,短いツッコミ,テンポよく短く返す。叫びにはしない。,にせ,ノーマル,1937616896,1.15,1.15,1.2,0.015,1.04,0.06,0.16,200,yes
ep01_v067,ep01_055,dialogue,第十三レジ,記録しました。,きろくしました。,短く事務的,短い処理応答,レジの処理音声として短く平坦に言う。,ろてじん（匿名インタビュー風）,ノーマル,1805828384,0.9,0.33,0.4,-0.04,1,0.08,0.21,200,yes
ep01_v068,ep01_056,dialogue,タクミ,通るんだ！,とおるんだ！,驚き。短く,短いツッコミ,テンポよく短く返す。叫びにはしない。,にせ,ノーマル,1937616896,1.15,1.15,1.2,0.015,1.04,0.06,0.16,250,yes
ep01_v069,ep01_057,dialogue,第十三レジ,未来とは、だいたい雑なメモの積み重ねです。,みらいとは、だいたいざつなめものつみかさねです。,無機質なボケ。感情を乗せない,無機質なボケ,ボケを演じない。冷たい事実として言う。,ろてじん（匿名インタビュー風）,ノーマル,1805828384,0.85,0.35,0.4,-0.044,1,0.08,0.35,600,yes
ep01_v070,ep01_058,narration,ナレーション,時空返品が完了し、返金額は百六十八円。,じくうへんぴんがかんりょうし、へんきんがくはひゃくろくじゅうはちえん。,世界規模から会計へ戻す,レシート読み,事務的に淡々と読む。ギャグは声で説明しない。,澤原 玄二郎,ノーマル,2029042368,0.92,0.85,0.82,-0.02,1.0,0.12,0.25,250,yes
ep01_v071,ep01_059,narration,ナレーション,未来の会社員は現金で受け取り、さらにホットコーヒーを買った。,みらいのかいしゃいんはげんきんでうけとり、さらにほっとこーひーをかった。,日常感を出す,レシート読み,事務的に淡々と読む。ギャグは声で説明しない。,澤原 玄二郎,ノーマル,2029042368,0.92,0.85,0.82,-0.02,1.0,0.12,0.25,300,yes
ep01_v072,ep01_060,dialogue,未来の会社員,未来のコーヒー、高いので。,みらいのこーひー、たかいので。,気が抜けた疲労感,小さな本音,会社員としての諦めを短く置く。,fumifumi,ノーマル,606865152,0.95,0.78,0.8,-0.03,1.0,0.08,0.22,250,yes
ep01_v073,ep01_061,dialogue,タクミ,未来、行きたくないな。,みらい、いきたくないな。,脱力,脱力,力が抜けた低めのツッコミ。余韻を残す。,にせ,ノーマル,1937616896,1.04,1.01,1.04,0.007,0.96,0.06,0.34,600,yes
ep01_v074,ep01_062,narration,ナレーション,午前二時二十分。第十三レジは消えた。,ごぜんにじにじゅっぷん。だいじゅうさんれじはきえた。,静かに区切る,締めの余韻,日常へ戻る寂しさを少しだけ残して、静かに閉じる。,澤原 玄二郎,ノーマル,2029042368,0.92,0.85,0.82,-0.02,1.0,0.12,0.25,400,yes
ep01_v075,ep01_064,narration,ナレーション,残ったレシートには、こう印字されていた。,のこったれしーとには、こういんじされていた。,レシートオチの前振り,レシート読み,事務的に淡々と読む。ギャグは声で説明しない。,澤原 玄二郎,ノーマル,2029042368,0.92,0.85,0.82,-0.02,1.0,0.12,0.25,300,yes
ep01_v076,ep01_064,narration,ナレーション,時空返品、一件。歴史メモ、一件。完全栄養おにぎり、開発継続。,じくうへんぴん、いっけん。れきしめも、いっけん。かんぜんえいようおにぎり、かいはつけいぞく。,レシートを淡々と読む,レシート読み,事務的に淡々と読む。ギャグは声で説明しない。,澤原 玄二郎,ノーマル,2029042368,0.92,0.85,0.82,-0.02,1.0,0.12,0.25,200,yes
ep01_v077,ep01_064,narration,ナレーション,人類生存率、微増。ホットコーヒー、レギュラー、一件。,じんるいせいぞんりつ、びぞう。ほっとこーひー、れぎゅらー、いっけん。,同じ調子で続ける,レシート読み,事務的に淡々と読む。ギャグは声で説明しない。,澤原 玄二郎,ノーマル,2029042368,0.92,0.85,0.82,-0.02,1.0,0.12,0.25,200,yes
ep01_v078,ep01_065,narration,ナレーション,スタッフ割引、対象外。,すたっふわりびき、たいしょうがい。,最後だけ少し間を置く,レシート読み,事務的に淡々と読む。ギャグは声で説明しない。,澤原 玄二郎,ノーマル,2029042368,0.92,0.85,0.82,-0.02,1.0,0.12,0.25,350,yes
ep01_v079,ep01_065,dialogue,タクミ,最後が一番現実的だ。,さいごがいちばんげんじつてきだ。,オチ。力を抜く,脱力,力が抜けた低めのツッコミ。余韻を残す。,にせ,ノーマル,1937616896,1.04,1.01,1.04,0.007,0.96,0.06,0.34,650,yes
ep01_v080,ep01_066,sfx,SE,自動ドアが開く。,,日常に戻す音,効果音メモ,音声合成しない。SE設計用のマーカーとして扱う。,,,,,,,,,,,250,no
ep01_v081,ep01_067,narration,ナレーション,近所の常連らしい男がコピー機へ向かった。,きんじょのじょうれんらしいおとこがこぴーきへむかった。,次話への余韻,状況説明,映像の補助に徹し、明瞭だが前に出すぎない。,澤原 玄二郎,ノーマル,2029042368,0.92,0.85,0.82,-0.02,1.0,0.12,0.25,250,yes
ep01_v083,ep01_068,dialogue,座木山辰哉,コピー、白黒でいいよ。色がつくと記憶が増えるから。,こぴー、しろくろでいいよ。いろがつくときおくがふえるから。,普通の常連のように。怖がらせすぎない,普通の常連,奇妙な内容を、コピー機を使いに来た常連の温度で言う。,猩々博士 (雑談ボイス),ノーマル,5306848,0.86,0.61,0.63,-0.04,0.97,0.1,0.35,500,yes
ep01_v084,ep01_069,dialogue,タクミ,この店、普通のお客さんも変なんですか。,このみせ、ふつうのおきゃくさんもへんなんですか。,固まったまま聞く,困惑,理解が追いつかず、少しだけ語尾を浮かせる。,にせ,ノーマル,1937616896,1.08,1.13,1.16,0.021,1,0.06,0.23,250,yes
ep01_v085,ep01_070,dialogue,ミナ,夜勤だから。,やきんだから。,締め。淡々と,低温・淡々,感情を盛らず、通常業務として読む。,ほのか(~現実20代女子AIボイチェン~リアボVC公式モデル),ノーマル,808373280,0.94,0.7,0.76,-0.02,0.98,0.08,0.23,700,yes
ep01_v086,ep01_071,narration,ナレーション,世界が少しだけ救われても、夜勤は終わらない。,せかいがすこしだけすくわれても、やきんはおわらない。,締めの余韻,締めの余韻,日常へ戻る寂しさを少しだけ残して、静かに閉じる。,澤原 玄二郎,ノーマル,2029042368,0.92,0.85,0.82,-0.02,1.0,0.12,0.25,350,yes
ep01_v087,ep01_071,narration,ナレーション,床清掃も、雑誌返品も、廃棄登録も、まだ残っている。,ゆかせいそうも、ざっしへんぴんも、はいきとうろくも、まだのこっている。,現実へ戻す。静かに終える,締めの余韻,日常へ戻る寂しさを少しだけ残して、静かに閉じる。,澤原 玄二郎,ノーマル,2029042368,0.92,0.85,0.82,-0.02,1.0,0.12,0.25,1200,yes
