id,cut,role,character,text,direction,pause_after_ms
ep01_v054,ep01_044,dialogue,未来の会社員,お願いします。,切実に,250
ep01_v055,ep01_045,dialogue,タクミ,お願いしますじゃないですよ。,前のめりなツッコミ,150
ep01_v056,ep01_045,dialogue,タクミ,世界の分岐を電子レンジに入れないでください。,一息で言い切る,400
ep01_v057,ep01_046,sfx,SE,電子レンジが唸る。,音響メモ。低い駆動音,350
ep01_v058,ep01_047,narration,ナレーション,おにぎりが淡く光り、未来の食堂が映った。,ここだけ温かい余韻,350
ep01_v059,ep01_048,narration,ナレーション,空っぽの棚。長い列。,短い文を置く,300
ep01_v060,ep01_049,narration,ナレーション,小さな子どもが、そのおにぎりを両手で持って笑っている。,感情の山。優しく,600
ep01_v061,ep01_050,narration,ナレーション,未来の会社員は息を呑んだ。,静かに,200
ep01_v062,ep01_050,dialogue,未来の会社員,開発記録です。これが、ちゃんと届けば……。,ここだけ感情を出す,600
ep01_v063,ep01_051,dialogue,第十三レジ,加熱により時空状態が安定しました。,処理完了通知,200
ep01_v064,ep01_052,dialogue,第十三レジ,履歴メモを入力してください。,通常のレジ操作案内風,350
ep01_v065,ep01_053,dialogue,エリ,このおにぎりは、ちゃんと作った方がいいです。,短く。少しだけ芯を出す,350
ep01_v066,ep01_054,dialogue,タクミ,ざっくり！,短く反応,200
ep01_v067,ep01_055,dialogue,第十三レジ,記録しました。,短く事務的,200
ep01_v068,ep01_056,dialogue,タクミ,通るんだ！,驚き。短く,250
ep01_v069,ep01_057,dialogue,第十三レジ,未来とは、だいたい雑なメモの積み重ねです。,無機質なボケ。感情を乗せない,600
ep01_v070,ep01_058,narration,ナレーション,時空返品が完了し、返金額は百六十八円。,世界規模から会計へ戻す,250
ep01_v071,ep01_059,narration,ナレーション,未来の会社員は現金で受け取り、さらにホットコーヒーを買った。,日常感を出す,300
ep01_v072,ep01_060,dialogue,未来の会社員,未来のコーヒー、高いので。,気が抜けた疲労感,250
ep01_v073,ep01_061,dialogue,タクミ,未来、行きたくないな。,脱力,600
ep01_v074,ep01_062,narration,ナレーション,午前二時二十分。第十三レジは消えた。,静かに区切る,400
ep01_v075,ep01_064,narration,ナレーション,残ったレシートには、こう印字されていた。,レシートオチの前振り,300
ep01_v076,ep01_064,narration,ナレーション,時空返品、一件。歴史メモ、一件。完全栄養おにぎり、開発継続。,レシートを淡々と読む,200
ep01_v077,ep01_064,narration,ナレーション,人類生存率、微増。ホットコーヒー、レギュラー、一件。,同じ調子で続ける,200
ep01_v078,ep01_065,narration,ナレーション,スタッフ割引、対象外。,最後だけ少し間を置く,350
ep01_v079,ep01_065,dialogue,タクミ,最後が一番現実的だ。,オチ。力を抜く,650
ep01_v080,ep01_066,sfx,SE,自動ドアが開く。,日常に戻す音,250
ep01_v081,ep01_067,narration,ナレーション,近所の常連らしい男がコピー機へ向かった。,次話への余韻,250
ep01_v083,ep01_068,dialogue,座木山辰哉,コピー、白黒でいいよ。色がつくと記憶が増えるから。,普通の常連のように。怖がらせすぎない,500
ep01_v084,ep01_069,dialogue,タクミ,この店、普通のお客さんも変なんですか。,固まったまま聞く,250
ep01_v085,ep01_070,dialogue,エリ,夜勤だから。,締め。淡々と,700
ep01_v086,ep01_071,narration,ナレーション,世界が少しだけ救われても、夜勤は終わらない。,締めの余韻,350
ep01_v087,ep01_071,narration,ナレーション,床清掃も、雑誌返品も、廃棄登録も、まだ残っている。,現実へ戻す。静かに終える,1200
